price,postal_code,rooms,area,state,has_open_fire,property_type,property_subtype,facades_number,is_furnished,has_terrace,has_garden,has_swimming_pool,has_equipped_kitchen,is_luxurious
424000,2100,3,162,0,-1,1,11,2,0,0,1,2,4,0
349900,2060,2,144,4,-1,1,11,2,0,1,0,2,4,0
324900,2100,3,145,4,-1,1,11,-1,0,1,1,2,4,0
335000,2660,2,135,4,-1,1,11,2,0,1,1,2,4,0
1680000,2060,7,504,0,-1,1,11,2,-1,1,1,2,4,1
999999,2000,3,218,0,-1,2,8,2,-1,1,-1,2,3,1
239000,2170,2,89,5,-1,1,11,2,0,0,1,2,4,0
815000,2000,6,220,0,-1,1,11,3,-1,1,0,0,3,1
375000,2000,4,216,5,-1,1,11,2,0,0,1,2,4,0
225000,2140,2,72,4,-1,1,11,-1,0,0,0,2,4,0
349000,2180,3,172,4,-1,1,11,2,0,1,1,2,4,0
595000,2180,5,230,2,-1,1,11,-1,0,1,1,2,4,0
429000,2060,4,178,4,-1,2,8,2,0,1,1,2,4,0
324000,2060,3,127,4,-1,1,11,2,0,0,0,2,4,0
475000,2660,4,201,4,-1,1,11,3,0,1,1,2,4,0
379000,2170,4,162,4,-1,1,11,2,0,1,1,2,4,0
319000,2140,3,133,3,-1,1,11,2,-1,1,1,2,4,0
365000,2018,6,212,3,-1,1,11,2,-1,0,0,2,4,0
299000,2610,3,155,5,-1,1,11,-1,-1,0,1,2,4,0
360000,2660,3,153,5,-1,1,11,2,0,0,1,2,4,0
2375000,2000,6,709,0,-1,2,8,2,-1,0,1,1,4,1
995000,2600,3,330,3,-1,1,11,2,-1,1,1,2,4,1
215000,2660,2,111,4,-1,1,11,2,0,0,1,2,4,0
375000,2660,4,176,3,-1,1,11,-1,-1,1,1,2,4,0
369000,2170,3,180,4,-1,1,11,2,0,1,1,2,4,0
398000,2050,3,163,3,-1,1,11,2,-1,1,1,2,4,0
365000,2170,4,172,4,-1,1,11,2,0,0,1,2,4,0
268000,2660,2,100,3,-1,1,11,-1,0,1,1,2,4,0
399000,2170,3,179,4,-1,1,11,2,0,1,1,2,4,0
359000,2100,4,167,4,-1,1,11,2,0,1,1,2,4,0
295000,2100,3,111,4,-1,1,11,2,0,0,1,2,4,0
354000,2170,4,150,4,-1,1,11,2,0,1,0,2,4,0
235000,2060,3,96,3,-1,1,11,2,-1,0,0,2,4,0
750000,2180,4,385,4,-1,1,14,4,0,1,1,1,4,1
765000,2018,2,205,3,-1,1,11,2,-1,1,1,2,4,0
850000,2610,4,169,3,-1,1,11,2,-1,1,1,2,4,0
349000,2660,3,135,4,-1,1,11,2,0,1,1,2,4,0
499000,2600,2,112,4,-1,1,11,3,0,1,1,2,4,0
309000,2600,3,118,5,-1,1,11,-1,-1,1,-1,2,2,0
