price,rooms,area,cadastral_income,build_year,postal_code,build_year_missing,cadastral_income_missing,property_type_Apartment,property_type_House,property_type_Other,has_equipped_kitchen_Fully equipped,has_equipped_kitchen_Not equipped,has_equipped_kitchen_Partially equipped,has_equipped_kitchen_nan,garage_1.0,garage_nan,has_garden_0.0,has_garden_1.0,has_garden_nan,has_swimming_pool_0.0,has_swimming_pool_1.0,has_swimming_pool_nan
269000.0,-0.929401350118446,-0.04032024921727823,-0.019475014144220176,-0.8210268590956586,-0.9639192835486301,0,1,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
299000.0,-0.39181598048100186,-0.030316953740947217,-0.019475014144220176,0.3384855813779186,-1.1676826795919513,0,1,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
359000.0,0.14576938915644239,-0.019241876606437877,-0.019475014144220176,0.3384855813779186,-0.9602144945296607,1,1,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
239000.0,-0.39181598048100186,-0.028530650977316677,-0.019475014144220176,-0.9558538870577026,-1.1639778905729818,0,1,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0
189000.0,-0.39181598048100186,-0.029959693188221108,-0.019475014144220176,-1.845712271607192,-0.9602144945296607,0,1,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0
269000.0,-0.39181598048100186,-0.024243524344603383,-0.019475014144220176,-0.659234425541206,-1.1795380044526536,0,1,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0
224000.0,-0.39181598048100186,-0.02781612987186446,0.006350837872528677,-0.5783382087639797,-1.149158734497104,0,0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0
217000.0,-0.39181598048100186,-0.030674214293673324,-0.019475014144220176,0.5002780149323713,-1.134339578421226,0,1,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0
269000.0,-0.39181598048100186,-0.024243524344603383,-0.019475014144220176,-0.659234425541206,-1.134339578421226,0,1,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0
269000.0,0.14576938915644239,-0.016026531631902905,-0.019475014144220176,-0.659234425541206,-1.149158734497104,0,1,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0
229500.0,-0.39181598048100186,-0.019241876606437877,-0.03455453847614736,0.3384855813779186,-0.9639192835486301,1,0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0
335000.0,0.14576938915644239,-0.017455573842807336,-0.019475014144220176,0.7160012596716415,-0.9602144945296607,0,1,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0
199000.0,-0.39181598048100186,-0.029959693188221108,-0.00994198152058805,-0.7670960479108412,-1.149158734497104,0,0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0
299000.0,-0.39181598048100186,-0.030316953740947217,-0.019475014144220176,0.5811742317095976,-1.149158734497104,0,1,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
385000.0,0.6833547587938866,-0.01209666555191572,-0.019475014144220176,0.7160012596716415,-0.9602144945296607,0,1,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
410000.0,-0.39181598048100186,-0.022457221580972846,-0.019475014144220176,0.3654509869703274,-1.1795380044526536,0,1,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0
215000.0,0.14576938915644239,-0.022814482133698955,-0.019475014144220176,-0.9558538870577026,-1.149158734497104,0,1,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
179000.0,-0.39181598048100186,-0.02674434821368614,-0.0031821947511034504,-0.8479922646880674,-1.1232252113643175,0,0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
239000.0,-0.39181598048100186,-0.029245172082768892,-0.029354702499620744,-0.9828192926501114,-1.1676826795919513,0,0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
335000.0,-0.39181598048100186,-0.022814482133698955,-0.019475014144220176,0.3384855813779186,-1.1795380044526536,1,1,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0
480000.0,0.14576938915644239,-0.01352570776282015,0.13062691771151477,0.20365855341587477,-0.9639192835486301,0,0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
389500.0,-0.39181598048100186,-0.024600784897329493,-0.019475014144220176,0.3384855813779186,-1.1862066246867986,1,1,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0
1950000.0,0.14576938915644239,0.0075526648480202085,-0.019475014144220176,0.3384855813779186,-1.1862066246867986,1,1,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0
239000.0,-0.39181598048100186,-0.02638708766096003,0.003750919884265369,-0.8210268590956586,-1.149158734497104,0,0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
249000.0,-0.929401350118446,-0.03639038313729105,-0.019475014144220176,0.7160012596716415,-0.9602144945296607,0,1,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0
229900.0,-0.39181598048100186,-0.032460517057303864,-0.05032737427161142,-1.0906809150197465,-1.1232252113643175,0,0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
315000.0,-0.39181598048100186,-0.026029827108233924,-0.019475014144220176,-1.0906809150197465,-1.1787970466488598,0,1,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0
229900.0,-0.39181598048100186,-0.032460517057303864,-0.05032737427161142,-1.0906809150197465,-1.1232252113643175,0,0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
