price,rooms,area,state,facades_number,is_furnished,has_terrace,has_garden,has_swimming_pool,has_equipped_kitchen,build_year,cellar,garage,kitchen_type,kitchen_surface,bathrooms,low_energy,solar_panels,heating_type,heat_pump,air_conditioning,alarm,garden_surface,terrace_surface,land_surface,sewer_connection,running_water,rain_water_tank,primary_energy_consumption,co2,certification_electrical_installation,planning_permission_granted,preemption_right,flooding_area_type,surroundings_protected,availability,leased,living_room_surface,attic,glazing_type,elevator,entry_phone,security_door,access_disabled,apartement_floor,number_floors,toilets,frontage_width,terrain_width_roadside,g_score,p_score,cadastral_income,property_subtype,postal_code,property_type
249000,2,62,2,2,1,2,1,1,4,2025,0,0,3,-1,1,0,2,5,0,0,0,-1,8,-1,2,2,0,-1,-1,2,1,1,3,0,93,1,27,0,0,1,0,0,1,2,2,1,10,10,2,2,-1,0,158,0
229900,3,73,4,0,1,2,1,0,1,1958,0,1,3,-1,1,0,0,3,0,0,0,-1,4,-1,0,0,0,286,-1,2,0,0,0,0,94,1,35,0,1,1,0,0,0,3,2,1,-1,-1,2,2,622,0,117,0
315000,3,91,3,0,0,2,1,0,1,1958,0,0,3,-1,1,0,0,6,0,1,1,-1,40,-1,0,0,0,-1,-1,1,0,1,3,1,91,1,-1,0,0,2,0,0,1,1,5,1,-1,-1,2,2,-1,0,107,0
229900,3,73,4,0,1,2,1,0,1,1958,0,1,3,-1,1,0,0,3,0,0,0,-1,4,-1,0,0,0,286,-1,2,0,0,0,0,94,1,35,0,1,1,0,0,0,3,2,1,-1,-1,2,2,622,0,117,0
259000,4,97,4,3,1,2,1,0,1,1963,0,0,3,-1,1,0,0,3,0,0,0,-1,3,-1,0,2,0,198,-1,0,0,1,2,0,94,1,-1,0,1,2,0,0,0,3,3,1,7,-1,2,2,944,0,113,0
299000,3,100,0,3,1,2,2,0,1,-1,0,1,3,-1,1,0,0,3,0,0,0,-1,-1,-1,0,2,0,185,-1,2,0,1,3,0,94,1,-1,0,1,2,0,0,0,0,0,1,13,-1,2,2,-1,9,117,0
235000,2,51,4,2,1,1,2,0,1,1975,0,0,3,-1,1,0,0,3,0,0,0,483,-1,-1,0,2,0,247,-1,2,0,1,3,0,94,1,-1,0,1,2,0,0,0,4,6,1,40,-1,2,2,498,0,106,0
439000,3,83,4,3,1,2,1,0,1,2010,0,0,3,-1,1,0,0,3,0,0,0,-1,4,-1,0,2,0,125,-1,2,0,1,2,0,94,1,-1,0,1,2,0,0,0,11,22,1,-1,-1,2,2,-1,0,105,0
119000,0,34,5,4,0,2,1,0,1,1965,0,0,3,4,1,0,0,3,0,0,0,-1,-1,-1,0,2,0,300,-1,1,0,0,3,0,93,1,26,0,2,2,0,0,0,4,4,1,-1,-1,2,2,632,0,106,0
289000,3,123,4,0,1,2,1,0,1,1975,0,0,3,-1,2,0,0,5,0,0,0,-1,-1,-1,0,0,0,-1,-1,0,0,1,3,0,92,1,-1,0,1,2,0,0,0,8,0,2,-1,-1,2,2,2320,0,157,0
